"Date","Inches"
"5/1/19","0.00"
"5/2/19","0.05"
"5/3/19","0.10"
"5/4/19","0.14"
"5/5/19","0.01"
"5/6/19","0.00"
"5/7/19","0.10"
"5/8/19","0.00"
"5/9/19","0.00"
"5/10/19","0.01"
"5/11/19","0.01"
"5/12/19","0.33"
"5/13/19","0.72"
"5/14/19","0.14"
"5/15/19","0.00"
"5/16/19","0.01"
"5/17/19","0.25"
"5/18/19","0.00"
"5/19/19","0.21"
"5/20/19","0.22"
"5/21/19","0.00"
"5/22/19","0.00"
"5/23/19","0.12"
"5/24/19","0.00"
"5/25/19","0.03"
"5/26/19","0.20"
"5/27/19","0.00"
"5/28/19","0.32"
"5/29/19","0.00"
"5/30/19","0.22"
"5/31/19","0.02"
